,"NSW","Vic","Qld","SA","WA","Tas","NT","ACT"
"01/07/2020","43.52","52.31","46.30","37.04","39.81","52.78","27.78","37.96"
"02/07/2020","43.52","52.31","46.30","37.04","39.81","52.78","27.78","37.96"
"03/07/2020","43.52","52.31","46.30","37.04","39.81","52.78","27.78","43.52"
"04/07/2020","43.52","52.31","46.30","37.04","39.81","52.78","27.78","43.52"
"05/07/2020","43.52","52.31","46.30","37.04","39.81","52.78","27.78","43.52"
"06/07/2020","43.52","52.31","46.30","37.04","39.81","52.78","27.78","43.52"
"07/07/2020","43.52","52.31","46.30","37.04","39.81","52.78","27.78","43.52"
"08/07/2020","49.07","57.87","46.30","37.04","39.81","52.78","27.78","43.52"
"09/07/2020","49.07","57.87","46.30","37.04","39.81","52.78","27.78","43.52"
"10/07/2020","49.07","57.87","43.52","37.04","39.81","52.78","27.78","43.52"
"11/07/2020","49.07","57.87","43.52","37.04","39.81","52.78","27.78","43.52"
"12/07/2020","49.07","57.87","43.52","37.04","39.81","52.78","27.78","43.52"
"13/07/2020","49.07","59.72","43.52","37.04","39.81","52.78","27.78","43.52"
"14/07/2020","49.07","59.72","43.52","37.04","39.81","52.78","27.78","43.52"
"15/07/2020","49.07","59.72","43.52","37.04","39.81","49.07","27.78","43.52"
"16/07/2020","49.07","59.72","43.52","37.04","39.81","49.07","27.78","43.52"
"17/07/2020","49.07","59.72","43.52","37.04","39.81","49.07","25.00","43.52"
"18/07/2020","49.07","59.72","43.52","37.04","39.81","49.07","25.00","43.52"
"19/07/2020","49.07","59.72","43.52","37.04","39.81","49.07","25.00","43.52"
"20/07/2020","49.07","59.72","43.52","37.04","39.81","49.07","25.00","43.52"
"21/07/2020","49.07","59.72","43.52","37.04","39.81","49.07","25.00","43.52"
"22/07/2020","49.07","59.72","43.52","37.04","39.81","49.07","25.00","43.52"
"23/07/2020","49.07","59.72","43.52","37.04","39.81","49.07","25.00","43.52"
"24/07/2020","49.07","59.72","43.52","37.04","39.81","49.07","25.00","43.52"
"25/07/2020","49.07","59.72","43.52","37.04","39.81","49.07","25.00","43.52"
"26/07/2020","49.07","65.28","43.52","37.04","39.81","49.07","25.00","43.52"
"27/07/2020","49.07","65.28","43.52","37.04","39.81","49.07","25.00","43.52"
"28/07/2020","49.07","65.28","43.52","37.04","39.81","49.07","25.00","43.52"
"29/07/2020","49.07","65.28","43.52","42.59","39.81","49.07","25.00","43.52"
"30/07/2020","49.07","65.28","43.52","42.59","39.81","49.07","25.00","43.52"
"31/07/2020","49.07","65.28","43.52","42.59","39.81","49.07","25.00","43.52"
"01/08/2020","49.07","65.28","43.52","42.59","39.81","49.07","25.00","43.52"
"02/08/2020","49.07","65.28","43.52","42.59","39.81","49.07","25.00","43.52"
"03/08/2020","49.07","87.04","43.52","42.59","39.81","49.07","25.00","43.52"
"04/08/2020","49.07","90.74","43.52","42.59","39.81","49.07","25.00","43.52"
"05/08/2020","49.07","92.59","43.52","42.59","39.81","49.07","25.00","43.52"
"06/08/2020","49.07","92.59","43.52","42.59","39.81","49.07","25.00","43.52"
"07/08/2020","49.07","92.59","43.52","42.59","39.81","49.07","25.00","43.52"
"08/08/2020","49.07","92.59","43.52","42.59","39.81","49.07","25.00","43.52"
"09/08/2020","49.07","92.59","43.52","42.59","39.81","49.07","25.00","43.52"
"10/08/2020","49.07","92.59","46.30","42.59","39.81","49.07","25.00","43.52"
"11/08/2020","49.07","92.59","46.30","42.59","39.81","49.07","25.00","43.52"
"12/08/2020","49.07","92.59","46.30","42.59","39.81","49.07","25.00","43.52"
"13/08/2020","49.07","92.59","46.30","42.59","39.81","49.07","25.00","43.52"
"14/08/2020","49.07","92.59","46.30","42.59","39.81","49.07","25.00","43.52"
"15/08/2020","49.07","92.59","46.30","42.59","39.81","49.07","25.00","43.52"
"16/08/2020","49.07","92.59","46.30","42.59","39.81","49.07","25.00","43.52"
"17/08/2020","49.07","92.59","46.30","42.59","39.81","49.07","25.00","43.52"
"18/08/2020","49.07","92.59","46.30","42.59","39.81","49.07","25.00","43.52"
"19/08/2020","49.07","92.59","46.30","42.59","39.81","49.07","25.00","43.52"
"20/08/2020","49.07","92.59","46.30","42.59","39.81","49.07","25.00","43.52"
"21/08/2020","49.07","92.59","46.30","42.59","39.81","49.07","25.00","43.52"
"22/08/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"23/08/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"24/08/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"25/08/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"26/08/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"27/08/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"28/08/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"29/08/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"30/08/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"31/08/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"01/09/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"02/09/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"03/09/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"04/09/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"05/09/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"06/09/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"07/09/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"08/09/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"09/09/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"10/09/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"11/09/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"12/09/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"13/09/2020","49.07","92.59","51.85","42.59","39.81","49.07","25.00","43.52"
"14/09/2020","49.07","90.74","51.85","42.59","39.81","49.07","25.00","43.52"
"15/09/2020","49.07","90.74","51.85","42.59","39.81","49.07","25.00","43.52"
"16/09/2020","49.07","90.74","51.85","42.59","39.81","49.07","25.00","43.52"
"17/09/2020","49.07","90.74","51.85","42.59","39.81","49.07","25.00","43.52"
"18/09/2020","49.07","90.74","51.85","42.59","39.81","49.07","25.00","43.52"
"19/09/2020","49.07","90.74","51.85","42.59","39.81","49.07","25.00","43.52"
"20/09/2020","49.07","90.74","51.85","42.59","39.81","49.07","25.00","43.52"
"21/09/2020","49.07","87.96","51.85","42.59","39.81","49.07","25.00","43.52"
"22/09/2020","49.07","87.96","51.85","42.59","39.81","49.07","25.00","43.52"
"23/09/2020","49.07","87.96","51.85","42.59","39.81","49.07","25.00","43.52"
"24/09/2020","49.07","87.96","51.85","42.59","39.81","49.07","25.00","43.52"
"25/09/2020","49.07","87.96","49.07","42.59","39.81","49.07","25.00","43.52"
"26/09/2020","49.07","87.96","49.07","42.59","39.81","49.07","25.00","43.52"
"27/09/2020","49.07","87.96","49.07","42.59","39.81","49.07","25.00","43.52"
"28/09/2020","47.69","84.26","49.07","42.59","39.81","49.07","25.00","43.52"
"29/09/2020","47.69","84.26","49.07","42.59","39.81","49.07","25.00","43.52"
"30/09/2020","47.69","84.26","49.07","42.59","39.81","49.07","25.00","43.52"
"01/10/2020","47.69","84.26","49.07","42.59","39.81","49.07","25.00","43.52"
"02/10/2020","47.69","84.26","49.07","42.59","39.81","49.07","25.00","43.52"
"03/10/2020","47.69","84.26","49.07","42.59","39.81","49.07","25.00","43.52"
"04/10/2020","47.69","84.26","49.07","42.59","39.81","49.07","25.00","43.52"
"05/10/2020","47.69","82.41","49.07","42.59","39.81","49.07","25.00","43.52"
"06/10/2020","47.69","82.41","49.07","42.59","39.81","49.07","25.00","43.52"
"07/10/2020","47.69","82.41","49.07","42.59","39.81","49.07","25.00","43.52"
"08/10/2020","47.69","82.41","49.07","42.59","39.81","49.07","25.00","43.52"
"09/10/2020","47.69","82.41","49.07","42.59","39.81","49.07","25.00","37.96"
"10/10/2020","47.69","82.41","49.07","42.59","39.81","49.07","25.00","37.96"
"11/10/2020","47.69","82.41","49.07","42.59","39.81","49.07","25.00","37.96"
"12/10/2020","47.69","80.56","49.07","42.59","39.81","45.37","25.00","37.96"
"13/10/2020","47.69","80.56","49.07","42.59","39.81","45.37","25.00","37.96"
"14/10/2020","47.69","80.56","49.07","42.59","39.81","45.37","25.00","37.96"
"15/10/2020","47.69","80.56","49.07","42.59","39.81","45.37","25.00","37.96"
"16/10/2020","47.69","80.56","49.07","42.59","39.81","45.37","25.00","37.96"
"17/10/2020","47.69","80.56","49.07","42.59","39.81","45.37","25.00","37.96"
"18/10/2020","47.69","80.56","49.07","42.59","39.81","45.37","25.00","37.96"
"19/10/2020","47.69","72.22","49.07","42.59","39.81","45.37","25.00","37.96"
"20/10/2020","47.69","72.22","49.07","42.59","39.81","45.37","25.00","37.96"
"21/10/2020","47.69","72.22","49.07","42.59","39.81","45.37","25.00","37.96"
"22/10/2020","47.69","72.22","49.07","42.59","39.81","45.37","25.00","37.96"
"23/10/2020","47.69","72.22","49.07","42.59","39.81","45.37","25.00","37.96"
"24/10/2020","47.69","72.22","49.07","42.59","39.81","45.37","25.00","37.96"
"25/10/2020","47.69","72.22","49.07","42.59","39.81","45.37","25.00","37.96"
"26/10/2020","47.69","72.22","49.07","42.59","39.81","42.59","25.00","37.96"
"27/10/2020","47.69","72.22","49.07","42.59","39.81","42.59","25.00","37.96"
"28/10/2020","47.69","61.11","49.07","42.59","39.81","42.59","25.00","37.96"
"29/10/2020","47.69","61.11","49.07","42.59","39.81","42.59","25.00","37.96"
"30/10/2020","47.69","61.11","49.07","42.59","39.81","42.59","25.00","37.96"
"31/10/2020","47.69","61.11","49.07","42.59","39.81","42.59","25.00","37.96"
"01/11/2020","47.69","61.11","49.07","42.59","39.81","42.59","25.00","37.96"
"02/11/2020","47.69","61.11","49.07","42.59","39.81","42.59","25.00","37.96"
"03/11/2020","47.69","61.11","49.07","42.59","39.81","42.59","25.00","37.96"
"04/11/2020","47.69","61.11","49.07","42.59","39.81","42.59","25.00","37.96"
"05/11/2020","47.69","61.11","49.07","42.59","39.81","42.59","25.00","37.96"
"06/11/2020","47.69","61.11","49.07","42.59","39.81","42.59","25.00","43.52"
"07/11/2020","47.69","61.11","49.07","42.59","39.81","42.59","25.00","43.52"
"08/11/2020","47.69","61.11","49.07","42.59","39.81","42.59","25.00","43.52"
"09/11/2020","47.69","50.00","49.07","42.59","39.81","42.59","25.00","43.52"
"10/11/2020","47.69","50.00","49.07","42.59","39.81","42.59","25.00","43.52"
"11/11/2020","47.69","50.00","49.07","42.59","39.81","42.59","25.00","43.52"
"12/11/2020","47.69","50.00","49.07","42.59","39.81","42.59","25.00","43.52"
"13/11/2020","47.69","47.22","49.07","42.59","39.81","42.59","25.00","43.52"
"14/11/2020","47.69","47.22","49.07","42.59","37.04","42.59","25.00","43.52"
"15/11/2020","47.69","47.22","49.07","42.59","37.04","42.59","25.00","43.52"
"16/11/2020","47.69","47.22","49.07","42.59","37.04","42.59","25.00","43.52"
"17/11/2020","47.69","47.22","49.07","50.00","37.04","42.59","25.00","43.52"
"18/11/2020","47.69","47.22","49.07","50.00","37.04","42.59","25.00","43.52"
"19/11/2020","47.69","47.22","49.07","80.56","37.04","42.59","25.00","43.52"
"20/11/2020","47.69","47.22","49.07","80.56","37.04","42.59","25.00","43.52"
"21/11/2020","47.69","47.22","49.07","80.56","37.04","42.59","25.00","43.52"
"22/11/2020","47.69","47.22","49.07","62.96","37.04","42.59","25.00","43.52"
"23/11/2020","42.13","47.22","49.07","51.85","37.04","42.59","25.00","43.52"
"24/11/2020","42.13","47.22","49.07","51.85","37.04","42.59","25.00","43.52"
"25/11/2020","42.13","47.22","49.07","51.85","37.04","42.59","25.00","43.52"
"26/11/2020","42.13","47.22","49.07","51.85","37.04","42.59","25.00","43.52"
"27/11/2020","42.13","47.22","49.07","51.85","37.04","42.59","25.00","43.52"
"28/11/2020","42.13","47.22","49.07","51.85","37.04","42.59","25.00","43.52"
"29/11/2020","42.13","47.22","49.07","51.85","37.04","42.59","25.00","43.52"
"30/11/2020","42.13","43.52","49.07","51.85","37.04","42.59","22.22","43.52"
"01/12/2020","42.13","43.52","49.07","46.30","37.04","42.59","22.22","43.52"
"02/12/2020","42.13","43.52","49.07","46.30","37.04","42.59","22.22","43.52"
"03/12/2020","42.13","43.52","49.07","46.30","37.04","42.59","22.22","43.52"
"04/12/2020","42.13","43.52","49.07","46.30","37.04","42.59","22.22","43.52"
"05/12/2020","42.13","43.52","49.07","46.30","37.04","42.59","22.22","43.52"
"06/12/2020","42.13","43.52","49.07","46.30","37.04","42.59","22.22","43.52"
"07/12/2020","42.13","37.96","49.07","46.30","37.04","42.59","22.22","43.52"
"08/12/2020","42.13","37.96","49.07","46.30","37.04","42.59","22.22","43.52"
"09/12/2020","42.13","37.96","49.07","46.30","37.04","42.59","22.22","35.19"
"10/12/2020","42.13","37.96","49.07","46.30","37.04","42.59","22.22","35.19"
"11/12/2020","42.13","37.96","49.07","46.30","37.04","39.81","22.22","31.48"
"12/12/2020","42.13","37.96","40.74","46.30","37.04","39.81","22.22","31.48"
"13/12/2020","42.13","37.96","40.74","46.30","37.04","39.81","22.22","31.48"
"14/12/2020","39.35","37.96","40.74","42.59","37.04","39.81","22.22","31.48"
"15/12/2020","39.35","37.96","40.74","42.59","37.04","39.81","22.22","31.48"
"16/12/2020","39.35","37.96","40.74","42.59","37.04","39.81","22.22","31.48"
"17/12/2020","39.35","37.96","40.74","42.59","37.04","39.81","22.22","31.48"
"18/12/2020","39.35","37.96","40.74","42.59","37.04","39.81","25.00","31.48"
"19/12/2020","60.65","46.30","49.07","42.59","37.04","39.81","25.00","34.26"
"20/12/2020","60.65","46.30","49.07","42.59","37.04","39.81","25.00","34.26"
"21/12/2020","60.65","46.30","49.07","42.59","37.04","39.81","25.00","39.81"
"22/12/2020","60.65","46.30","49.07","42.59","37.04","39.81","25.00","39.81"
"23/12/2020","60.65","46.30","49.07","42.59","37.04","39.81","25.00","39.81"
"24/12/2020","56.94","46.30","49.07","42.59","37.04","39.81","25.00","39.81"
"25/12/2020","56.94","46.30","49.07","42.59","37.04","39.81","25.00","39.81"
"26/12/2020","56.94","46.30","49.07","42.59","37.04","39.81","25.00","39.81"
"27/12/2020","60.65","46.30","49.07","42.59","37.04","39.81","25.00","39.81"
"28/12/2020","60.65","46.30","49.07","42.59","37.04","39.81","25.00","39.81"
"29/12/2020","60.65","46.30","49.07","42.59","37.04","39.81","25.00","39.81"
"30/12/2020","60.65","46.30","49.07","42.59","37.04","39.81","25.00","39.81"
"31/12/2020","56.94","46.30","49.07","42.59","37.04","39.81","25.00","39.81"

"The state level index excludes the impact of federal policies and advice such as international border closures and the federal public health campaign."

"Source: Australian Bureau of Statistics, State economies and the stringency of COVID-19 containment measures, December quarter 2020 3/03/2021"